,Archivo,Tamano,Sweeping,Goloso Adicional,Cluster Adicional,Savings
0,instanciasAleatorias/instancia_100_0.vrp,100,5680852,5421873,6026198,34535438
1,instanciasAleatorias/instancia_100_1.vrp,100,5689124,5434568,6142684,35547095
2,instanciasAleatorias/instancia_100_2.vrp,100,5491016,5384073,6190034,42013238
3,instanciasAleatorias/instancia_100_3.vrp,100,5432177,5436879,6546724,40063367
4,instanciasAleatorias/instancia_100_4.vrp,100,5369063,5459437,6144796,33582084
5,instanciasAleatorias/instancia_100_5.vrp,100,5417834,5388290,6022201,37467551
6,instanciasAleatorias/instancia_100_6.vrp,100,5451700,5421895,5957176,35556889
7,instanciasAleatorias/instancia_100_7.vrp,100,5531648,5719197,6343728,31653743
8,instanciasAleatorias/instancia_100_8.vrp,100,5750669,23296398,6843238,33000415
9,instanciasAleatorias/instancia_100_9.vrp,100,5688238,5434190,8216967,34575715
10,instanciasAleatorias/instancia_10_0.vrp,10,92219,74019,107813,69538
11,instanciasAleatorias/instancia_10_1.vrp,10,93153,73288,87709,69810
12,instanciasAleatorias/instancia_10_2.vrp,10,92766,74054,88032,70372
13,instanciasAleatorias/instancia_10_3.vrp,10,92641,74076,87927,68659
14,instanciasAleatorias/instancia_10_4.vrp,10,92653,73449,194045,66807
15,instanciasAleatorias/instancia_10_5.vrp,10,107065,73844,87738,72471
16,instanciasAleatorias/instancia_10_6.vrp,10,97517,87701,87318,68151
17,instanciasAleatorias/instancia_10_7.vrp,10,92463,72893,87615,70600
18,instanciasAleatorias/instancia_10_8.vrp,10,112411,67666,105600,70614
19,instanciasAleatorias/instancia_10_9.vrp,10,92258,73578,101306,66353
20,instanciasAleatorias/instancia_110_0.vrp,110,6908507,6777884,9016117,44934678
21,instanciasAleatorias/instancia_110_1.vrp,110,6503673,6618721,10361422,43068019
22,instanciasAleatorias/instancia_110_2.vrp,110,6480998,6508311,9947645,59519733
23,instanciasAleatorias/instancia_110_3.vrp,110,6569708,6715575,8165180,48309853
24,instanciasAleatorias/instancia_110_4.vrp,110,7201081,6725911,9847517,49206659
25,instanciasAleatorias/instancia_110_5.vrp,110,6795869,6815981,9566917,47900407
26,instanciasAleatorias/instancia_110_6.vrp,110,6661150,6738278,8572978,38109762
27,instanciasAleatorias/instancia_110_7.vrp,110,6635144,6637092,9654186,39696604
28,instanciasAleatorias/instancia_110_8.vrp,110,6653140,6651715,8856276,48732032
29,instanciasAleatorias/instancia_110_9.vrp,110,6613593,6585373,9218803,48227733
30,instanciasAleatorias/instancia_120_0.vrp,120,7842572,7961424,12264073,56522736
31,instanciasAleatorias/instancia_120_1.vrp,120,7738656,7868088,10464244,54396111
32,instanciasAleatorias/instancia_120_2.vrp,120,7767196,7924572,11206983,69549680
33,instanciasAleatorias/instancia_120_3.vrp,120,7755334,7720359,9102625,75854385
34,instanciasAleatorias/instancia_120_4.vrp,120,7765971,7749352,9964148,68489316
35,instanciasAleatorias/instancia_120_5.vrp,120,7646814,7759136,11568994,45746762
36,instanciasAleatorias/instancia_120_6.vrp,120,7897534,7840548,9136879,62967707
37,instanciasAleatorias/instancia_120_7.vrp,120,7811745,7787005,9388727,60470151
38,instanciasAleatorias/instancia_120_8.vrp,120,8300076,7833478,9944291,66356980
39,instanciasAleatorias/instancia_120_9.vrp,120,8695197,7875267,8885179,64354751
40,instanciasAleatorias/instancia_130_0.vrp,130,9229281,10843560,11007957,91537276
41,instanciasAleatorias/instancia_130_1.vrp,130,9416310,9369350,11767618,65852093
42,instanciasAleatorias/instancia_130_2.vrp,130,9143252,9226847,10346170,83640549
43,instanciasAleatorias/instancia_130_3.vrp,130,9224074,9262971,10774873,89496411
44,instanciasAleatorias/instancia_130_4.vrp,130,9553035,9246159,10336168,78007518
45,instanciasAleatorias/instancia_130_5.vrp,130,9493216,9520062,10477683,80328464
46,instanciasAleatorias/instancia_130_6.vrp,130,9205340,9259070,10480575,85516851
47,instanciasAleatorias/instancia_130_7.vrp,130,9055975,9167638,10169449,73035537
48,instanciasAleatorias/instancia_130_8.vrp,130,9122201,9320129,10246799,71798166
49,instanciasAleatorias/instancia_130_9.vrp,130,9245690,9361095,12738429,111495558
50,instanciasAleatorias/instancia_140_0.vrp,140,10884259,10783079,12513926,93651308
51,instanciasAleatorias/instancia_140_1.vrp,140,10675623,10819387,12199336,142186579
52,instanciasAleatorias/instancia_140_2.vrp,140,10674752,10800680,11983085,103417706
53,instanciasAleatorias/instancia_140_3.vrp,140,10616890,11179205,12102386,88359910
54,instanciasAleatorias/instancia_140_4.vrp,140,10869215,10814528,13260521,122721000
55,instanciasAleatorias/instancia_140_5.vrp,140,10670318,10843727,11976687,100084588
56,instanciasAleatorias/instancia_140_6.vrp,140,10693452,11119005,13354440,111583269
57,instanciasAleatorias/instancia_140_7.vrp,140,10704734,10761496,12889777,106667306
58,instanciasAleatorias/instancia_140_8.vrp,140,10777060,10876867,14902924,89101602
59,instanciasAleatorias/instancia_140_9.vrp,140,10589250,10719829,12670160,116796578
60,instanciasAleatorias/instancia_150_0.vrp,150,12376677,12439658,15379886,131708450
